"LEA_STATE","LEA_STATE_NAME","NCESLEAID","LEA_NAME","SCHID","SCHOOL_NAME","NCESSCH","JJ","DISABILITY_CATEGORY","AM_M_7","AS_M_7","BL_M_7","HI_M_7","MU_M_7","PI_M_7","WH_M_7","AM_F_7","AS_F_7","BL_F_7","HI_F_7","MU_F_7","PI_F_7","WH_F_7","TOTAL_STUDENTS_REPORTED","LEP_M","NLEP_M","LEP_F","NLEP_F","CF_M","HH_M","PPPS_M","RC39_M","RC79TO40_M","RC80_M","RF_M","SS_M","CF_F","HH_F","PPPS_F","RC39_F","RC79TO40_F","RC80_F","RF_F","SS_F"
"IA","IOWA","1913350","Clayton Ridge Comm School District","00751","Clayton Ridge Middle School","191335000000","No","MISSING",0,0,0,0,0,0,9,0,0,0,1,0,0,10,20,0,9,0,11,0,0,0,0,2,7,0,0,0,0,1,1,0,9,0,0
"IA","IOWA","1913350","Clayton Ridge Comm School District","00806","Clayton Ridge High School","191335000000","No","MISSING",0,0,0,0,0,0,15,0,0,0,0,0,0,7,22,0,15,0,7,0,0,0,0,4,11,0,0,0,0,0,0,2,5,0,0
"IA","IOWA","1913350","Clayton Ridge Comm School District","00807","Clayton Ridge Elementary School","191335000000","No","MISSING",0,0,1,0,0,0,4,0,0,0,0,0,0,7,12,0,5,0,7,0,0,0,0,1,4,0,0,0,0,0,0,1,6,0,0
"IA","IOWA","1913350","Clayton Ridge Comm School District","02206","Iowa Virtual Academy","191335000000","No","MISSING",0,0,1,1,0,0,13,0,0,1,0,0,0,5,21,0,15,0,6,0,0,12,0,2,1,0,0,0,0,6,0,0,0,0,0
"IA","IOWA","1913380","H-L-V Comm School District","00808","H-L-V Junior-Senior High School","191338000000","No","MISSING",0,0,0,0,0,0,11,0,0,0,0,0,0,4,15,0,11,0,4,0,0,0,0,1,10,0,0,0,0,0,0,0,4,0,0
"IA","IOWA","1913380","H-L-V Comm School District","01993","H-L-V Elementary School","191338000000","No","MISSING",0,0,2,0,1,0,15,0,0,0,0,1,0,3,22,0,18,0,4,0,0,0,1,4,13,0,0,0,0,0,0,2,2,0,0
"IA","IOWA","1913440","Hamburg Comm School District","00812","Marnie Simons Elementary School","191344000000","No","MISSING",0,0,0,0,0,0,10,0,0,0,0,0,0,4,14,0,10,0,4,0,0,0,0,1,9,0,0,0,0,0,0,0,4,0,0
"IA","IOWA","1913440","Hamburg Comm School District","02235","Hamburg Middle School","191344000000","No","MISSING",0,0,0,3,0,0,2,0,0,0,0,1,0,2,8,1,4,0,3,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0
"IA","IOWA","1913470","Hampton-Dumont Comm School District","00813","Hampton-Dumont High School","191347000000","No","MISSING",1,0,2,13,1,0,13,0,0,0,8,0,0,8,46,4,26,3,13,0,0,0,1,10,19,0,0,0,0,0,2,5,9,0,0
"IA","IOWA","1913470","Hampton-Dumont Comm School District","00814","Hampton-Dumont Middle School","191347000000","No","MISSING",0,0,0,21,0,0,24,0,0,0,15,0,0,12,72,17,28,11,16,0,0,0,7,2,36,0,0,0,0,0,2,2,23,0,0
"IA","IOWA","1913470","Hampton-Dumont Comm School District","00817","North Side Elementary School","191347000000","No","MISSING",0,0,0,1,0,0,2,0,0,0,1,0,0,0,4,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
"IA","IOWA","1913470","Hampton-Dumont Comm School District","00819","South Side Elementary School","191347000000","No","MISSING",0,0,0,10,0,0,12,0,0,0,5,0,0,5,32,9,13,3,7,0,0,0,0,1,21,0,0,0,0,0,0,1,9,0,0
"IA","IOWA","1913500","Harlan Comm School District","00821","Harlan High School","191350000000","No","MISSING",0,0,1,2,0,0,26,0,0,0,0,0,0,17,46,1,28,0,17,0,0,0,1,15,13,0,0,0,0,0,1,5,11,0,0
"IA","IOWA","1913500","Harlan Comm School District","00822","Harlan Community Middle School","191350000000","No","MISSING",0,0,0,0,0,1,21,0,0,0,2,0,0,6,30,0,22,1,7,0,0,0,1,9,12,0,0,0,0,0,0,2,6,0,0
"IA","IOWA","1913500","Harlan Comm School District","00825","Harlan Primary","191350000000","No","MISSING",0,0,0,0,0,0,14,0,0,0,0,1,0,9,24,0,14,0,10,0,0,0,0,1,13,0,0,0,0,0,0,0,10,0,0
"IA","IOWA","1913500","Harlan Comm School District","00826","Harlan  Intermediate School","191350000000","No","MISSING",1,1,2,2,0,0,27,1,0,0,1,0,0,10,45,1,32,0,12,0,0,0,0,8,25,0,0,0,0,0,0,2,10,0,0
"IA","IOWA","1913530","Harmony Comm School District","00827","Harmony Elementary School","191353000000","No","MISSING",0,0,0,0,0,0,8,0,0,0,0,0,0,6,14,0,8,0,6,0,0,0,0,2,6,0,0,0,0,0,0,0,6,0,0
"IA","IOWA","1913660","Hartley-Melvin-Sanborn Comm School District","01962","Hartley-Melvin-Sanborn Elementary School","191366000000","No","MISSING",0,0,0,1,0,0,21,0,0,0,2,2,0,8,34,1,21,0,12,0,0,0,0,9,13,0,0,0,0,0,0,5,7,0,0
"IA","IOWA","1913660","Hartley-Melvin-Sanborn Comm School District","01963","Hartley-Melvin-Sanborn High School","191366000000","No","MISSING",0,0,0,3,0,0,19,0,0,0,2,0,0,6,30,1,21,0,8,0,0,0,1,9,12,0,0,0,0,0,1,3,4,0,0
"IA","IOWA","1913660","Hartley-Melvin-Sanborn Comm School District","02065","Hartley-Melvin-Sanborn Middle School","191366000000","No","MISSING",0,0,0,1,1,0,9,0,0,0,0,2,0,12,25,0,11,0,14,0,0,0,0,2,9,0,0,0,0,0,0,6,8,0,0
"IA","IOWA","1914010","Highland Comm School District","00839","Highland High School","191401000000","No","MISSING",0,0,0,0,1,0,19,0,0,0,3,0,0,8,31,0,20,2,9,0,0,0,0,4,16,0,0,0,0,0,1,0,10,0,0
"IA","IOWA","1914010","Highland Comm School District","00840","Highland Middle School","191401000000","No","MISSING",0,0,0,1,0,0,9,0,0,0,1,0,0,4,15,0,10,0,5,0,0,0,0,1,9,0,0,0,0,0,0,0,5,0,0
"IA","IOWA","1914010","Highland Comm School District","00842","Highland Elementary School","191401000000","No","MISSING",0,0,0,2,0,0,16,0,0,0,0,0,0,10,28,1,17,0,10,0,0,0,0,2,16,0,0,0,0,0,0,0,10,0,0
"IA","IOWA","1914160","Hinton Comm School District","00843","Hinton Elementary School","191416000000","No","MISSING",0,0,0,0,1,0,21,0,0,0,0,0,0,8,30,1,21,0,8,0,0,0,0,5,17,0,0,0,0,0,0,2,6,0,0
"IA","IOWA","1914160","Hinton Comm School District","00844","Hinton High School","191416000000","No","MISSING",0,0,2,0,0,0,14,0,1,1,0,0,0,6,24,0,16,0,8,0,0,0,1,3,12,0,0,0,0,0,1,3,4,0,0
"IA","IOWA","1914160","Hinton Comm School District","00845","Hinton Middle School","191416000000","No","MISSING",0,0,0,0,1,0,13,0,0,0,0,0,0,6,20,0,14,0,6,0,0,0,0,1,13,0,0,0,0,0,1,0,5,0,0
"IA","IOWA","1914280","Howard-Winneshiek Comm School District","00848","Crestwood Elementary School","191428000000","No","MISSING",0,0,0,3,2,0,40,0,0,0,0,2,0,28,75,0,45,0,30,0,0,0,1,9,35,0,0,0,0,0,0,10,20,0,0
"IA","IOWA","1914280","Howard-Winneshiek Comm School District","00849","Crestwood High School","191428000000","No","MISSING",0,0,0,3,0,0,33,0,1,1,3,2,0,17,60,0,36,0,24,0,0,0,1,10,25,0,0,0,1,0,0,10,13,0,0
"IA","IOWA","1914310","Hubbard-Radcliffe Comm School District","01390","South Hardin Middle School","191431000000","No","MISSING",0,0,1,2,0,0,21,0,0,0,0,0,0,10,34,1,23,0,10,0,0,0,0,4,20,0,0,0,0,0,1,1,8,0,0
"IA","IOWA","1914310","Hubbard-Radcliffe Comm School District","02038","Hubbard-Radcliffe Elementary School","191431000000","No","MISSING",0,0,0,1,1,0,8,0,0,1,1,0,0,6,18,0,10,1,7,0,0,0,0,1,9,0,0,0,0,0,0,0,8,0,0
"IA","IOWA","1914340","Hudson Comm School District","00856","Hudson Elementary School","191434000000","No","MISSING",0,1,1,1,2,0,20,0,0,0,1,1,0,12,39,2,23,1,13,0,0,0,0,4,20,0,1,0,0,0,0,2,12,0,0
"IA","IOWA","1914340","Hudson Comm School District","00857","Hudson High School","191434000000","No","MISSING",0,0,0,0,2,0,22,0,0,0,0,2,0,13,39,0,24,0,15,0,0,0,0,5,18,0,1,0,0,0,0,4,11,0,0
"IA","IOWA","1914370","Humboldt Comm School District","00858","Clyde D Mease Elementary School","191437000000","No","MISSING",0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
"IA","IOWA","1914370","Humboldt Comm School District","00859","Humboldt High School","191437000000","No","MISSING",0,0,0,1,1,0,18,0,0,0,3,1,0,11,35,1,19,1,14,0,0,0,0,6,14,0,0,0,0,0,1,3,11,0,0
"IA","IOWA","1914370","Humboldt Comm School District","00860","Humboldt Middle School","191437000000","No","MISSING",0,0,0,2,2,0,16,0,0,1,9,2,0,16,48,2,18,7,21,0,0,1,0,3,16,0,0,0,0,1,0,2,25,0,0
"IA","IOWA","1914370","Humboldt Comm School District","00861","Taft Elementary School","191437000000","No","MISSING",0,0,1,3,3,0,21,0,0,0,1,1,0,13,43,3,25,0,15,0,0,0,1,10,17,0,0,0,0,0,1,3,11,0,0
"IA","IOWA","1914580","Independence Comm School District","00865","East Elementary School","191458000000","No","MISSING",0,0,0,2,0,0,14,0,0,0,0,1,0,7,24,0,16,0,8,0,0,0,0,1,15,0,0,0,0,0,0,2,6,0,0
"IA","IOWA","1914580","Independence Comm School District","00866","Independence Junior Senior High School","191458000000","No","MISSING",0,0,2,2,1,0,51,0,0,3,0,0,0,36,95,0,56,0,39,0,0,0,4,18,31,0,3,0,0,0,3,9,25,0,2
"IA","IOWA","1914580","Independence Comm School District","00869","West Elementary School","191458000000","No","MISSING",0,0,0,1,2,0,36,0,0,0,1,1,0,20,61,0,39,0,22,0,0,0,0,12,26,0,1,0,0,0,0,6,16,0,0
