OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,NAME,P1_001N,P1_002N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P1_010N,P1_011N,P1_012N,P1_013N,P1_014N,P1_015N,P1_016N,P1_017N,P1_018N,P1_019N,P1_020N,P1_021N,P1_022N,P1_023N,P1_024N,P1_025N,P1_026N,P1_027N,P1_028N,P1_029N,P1_030N,P1_031N,P1_032N,P1_033N,P1_034N,P1_035N,P1_036N,P1_037N,P1_038N,P1_039N,P1_040N,P1_041N,P1_042N,P1_043N,P1_044N,P1_045N,P1_046N,P1_047N,P1_048N,P1_049N,P1_050N,P1_051N,P1_052N,P1_053N,P1_054N,P1_055N,P1_056N,P1_057N,P1_058N,P1_059N,P1_060N,P1_061N,P1_062N,P1_063N,P1_064N,P1_065N,P1_066N,P1_067N,P1_068N,P1_069N,P1_070N,P1_071N,ShapeSTArea,ShapeSTLength
348,48,029,191506,48029191506,1915.06,Census Tract,G5020,S,3774023,2921,+29.5579374,-098.5438575,"Census Tract 1915.06, Bexar County, Texas",5889,4597,3489,290,44,331,6,437,1292,1237,59,52,64,4,1020,2,6,0,13,0,0,7,7,3,0,45,4,3,0,11,0,0,15,4,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40644034.9707031,32415.046660475
349,48,029,191701,48029191701,1917.01,Census Tract,G5020,S,6175989,20843,+29.5819992,-098.4856635,"Census Tract 1917.01, Bexar County, Texas",1533,1302,1204,12,6,37,3,40,231,219,3,25,15,0,168,0,0,0,3,1,0,0,0,2,2,10,1,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66684842.1503906,37486.3289584184
350,48,029,191702,48029191702,1917.02,Census Tract,G5020,S,8096290,17128,+29.5980050,-098.4944432,"Census Tract 1917.02, Bexar County, Texas",7276,5938,5100,278,46,135,0,379,1338,1280,27,100,74,2,1052,0,6,0,13,0,0,3,0,2,1,54,5,2,0,3,3,0,33,2,5,0,0,0,1,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87309735.0507812,51904.4905156468
351,48,029,191804,48029191804,1918.04,Census Tract,G5020,S,29862182,83407,+29.7202361,-098.4914508,"Census Tract 1918.04, Bexar County, Texas",11588,9035,7664,459,83,242,18,569,2553,2440,86,162,124,4,2021,2,6,0,13,0,1,9,7,4,1,101,2,3,0,5,2,3,41,8,29,2,1,0,5,0,0,0,0,0,0,0,12,0,0,7,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322256106.242188,105572.425834333
352,48,029,191806,48029191806,1918.06,Census Tract,G5020,S,10517704,0,+29.6162083,-098.5358265,"Census Tract 1918.06, Bexar County, Texas",9540,7465,5607,362,40,1076,6,374,2075,1975,64,68,146,5,1642,5,5,3,10,0,0,8,9,10,0,86,6,4,0,15,2,1,33,11,12,2,0,0,0,0,0,0,0,0,0,0,11,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,113182887.333984,48235.4748408504
353,48,029,191807,48029191807,1918.07,Census Tract,G5020,S,27574522,259643,+29.6108182,-098.5827567,"Census Tract 1918.07, Bexar County, Texas",11668,8710,6059,680,84,949,17,921,2958,2865,93,82,146,5,2463,2,9,0,31,0,4,23,1,6,0,88,10,5,1,11,4,0,32,0,21,0,1,0,2,0,1,0,0,0,0,0,5,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299529169.476562,114622.931059711
354,48,029,191808,48029191808,1918.08,Census Tract,G5020,S,6543048,0,+29.6569960,-098.4657664,"Census Tract 1918.08, Bexar County, Texas",5933,4660,3038,495,40,682,28,377,1273,1182,51,38,86,1,960,4,14,2,10,0,0,6,8,2,0,82,7,5,0,14,1,1,33,6,11,0,1,0,0,3,0,0,0,0,0,0,8,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,70411458.5351562,35424.1889570407
355,48,029,191809,48029191809,1918.09,Census Tract,G5020,S,7744698,1486,+29.6823330,-098.4892452,"Census Tract 1918.09, Bexar County, Texas",8902,6859,5194,480,47,647,17,474,2043,1951,60,82,152,1,1574,10,12,3,29,2,0,16,0,9,1,84,3,9,2,11,6,0,39,2,11,0,0,0,1,0,0,0,0,0,0,0,8,1,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83359092.8925781,52919.4494479714
356,48,029,191810,48029191810,1918.10,Census Tract,G5020,S,4311583,0,+29.6756630,-098.4649884,"Census Tract 1918.10, Bexar County, Texas",6170,4602,3261,412,35,510,12,372,1568,1485,59,80,88,1,1206,16,5,2,22,0,0,3,0,3,0,74,8,2,0,15,7,1,25,4,6,2,0,0,2,0,2,0,0,0,0,0,9,0,0,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46398213.8203125,29573.8180764322
357,48,029,191811,48029191811,1918.11,Census Tract,G5020,S,6092838,2297,+29.6493355,-098.5130195,"Census Tract 1918.11, Bexar County, Texas",5765,4382,3177,299,45,515,6,340,1383,1313,32,77,105,9,1058,0,2,3,11,2,1,1,4,4,4,68,2,0,0,13,0,0,34,2,14,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65591330.2792969,37564.5729469262
358,48,029,191812,48029191812,1918.12,Census Tract,G5020,S,3643839,0,+29.6551647,-098.4877610,"Census Tract 1918.12, Bexar County, Texas",4304,3225,2363,193,22,462,0,185,1079,1026,36,43,61,1,853,0,5,0,5,1,0,12,1,8,0,41,1,2,0,8,1,0,16,3,10,0,0,0,0,0,0,0,0,0,0,0,11,2,0,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,39212304.6054688,27061.9795845161
359,48,029,191813,48029191813,1918.13,Census Tract,G5020,S,2827853,0,+29.6451452,-098.4994394,"Census Tract 1918.13, Bexar County, Texas",7271,5473,4134,289,34,472,8,536,1798,1675,54,77,102,4,1384,3,16,0,18,2,0,2,7,6,0,118,15,5,0,18,1,1,48,2,15,2,0,0,8,0,0,1,0,2,0,0,5,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30431176.5957031,26077.5142654409
360,48,029,191814,48029191814,1918.14,Census Tract,G5020,S,9003466,41955,+29.7029227,-098.4664333,"Census Tract 1918.14, Bexar County, Texas",6143,4700,3590,231,29,245,18,587,1443,1392,33,73,51,10,1185,5,12,0,10,0,0,6,0,5,2,49,11,2,0,11,0,2,5,3,10,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97340974.6835938,41256.5861300992
361,48,029,191815,48029191815,1918.15,Census Tract,G5020,S,2549292,0,+29.6295576,-098.5085688,"Census Tract 1918.15, Bexar County, Texas",5248,3763,2524,258,35,525,8,413,1485,1420,39,38,64,5,1218,9,11,0,10,1,0,8,6,11,0,62,2,11,0,9,2,0,17,4,16,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27433444.9355469,23207.7103128787
362,48,029,191816,48029191816,1918.16,Census Tract,G5020,S,2896998,16588,+29.6177113,-098.4965825,"Census Tract 1918.16, Bexar County, Texas",3184,2567,2028,123,10,165,6,235,617,599,20,31,36,4,498,0,3,0,0,0,0,1,3,3,0,16,2,3,0,3,0,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31353634.5214844,22637.4397788045
363,48,029,191818,48029191818,1918.18,Census Tract,G5020,S,6684487,1139,+29.6214798,-098.4785675,"Census Tract 1918.18, Bexar County, Texas",4781,3659,2574,300,24,347,0,414,1122,1073,33,34,42,3,921,5,4,1,14,4,0,5,6,1,0,47,10,6,0,7,0,0,14,0,1,0,2,0,4,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71945278.7558594,36115.754872978
364,48,029,191819,48029191819,1918.19,Census Tract,G5020,S,6213836,246,+29.6384619,-098.4735409,"Census Tract 1918.19, Bexar County, Texas",8972,6737,4523,602,73,869,11,659,2235,2152,70,88,118,9,1816,7,14,1,13,0,0,11,4,1,0,71,1,10,2,4,6,0,23,4,13,0,3,0,3,0,1,1,0,0,0,0,9,1,1,2,0,1,2,0,0,0,1,1,0,0,0,0,3,0,3,0,0,0,0,0,0,66871082.8398438,39731.0497007653
365,48,029,191900,48029191900,1919,Census Tract,G5020,S,3341282,0,+29.4280861,-098.4704178,"Census Tract 1919, Bexar County, Texas",4528,3281,1618,548,62,71,2,980,1247,1218,24,34,26,4,1060,13,3,4,25,0,0,19,2,1,3,26,2,1,1,0,1,0,16,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,35955442.65625,23376.6813435528
366,48,029,192000,48029192000,1920,Census Tract,G5020,S,5062148,27634,+29.4600994,-098.4693865,"Census Tract 1920, Bexar County, Texas",5233,4182,3009,312,65,93,10,693,1051,998,55,48,52,7,797,1,9,1,16,2,0,6,0,3,1,45,9,2,3,3,1,1,19,0,2,0,1,0,0,3,1,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54771055.6328125,43938.7143781609
367,48,029,192100,48029192100,1921,Census Tract,G5020,S,2908611,63392,+29.4083684,-098.4936170,"Census Tract 1921, Bexar County, Texas",2724,1972,1523,90,25,51,5,278,752,721,11,12,25,0,654,2,4,1,6,0,0,5,0,1,0,30,2,0,0,0,0,0,19,2,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31981533.6542969,30400.3306192556
368,48,029,192200,48029192200,1922,Census Tract,G5020,S,14838391,123562,+29.3478758,-098.4648118,"Census Tract 1922, Bexar County, Texas",3186,2438,1351,182,53,128,5,719,748,720,17,27,12,0,641,4,4,6,3,3,0,3,0,0,0,28,1,0,0,3,3,0,16,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161004482.060547,65374.6466834991
369,48,029,192300,48029192300,1923,Census Tract,G5020,S,6125644,70724,+29.5664569,-098.5015613,"Census Tract 1923, Bexar County, Texas",5055,3935,3094,257,56,146,4,378,1120,1035,29,67,45,1,870,3,3,0,8,0,0,3,2,4,0,74,0,1,0,12,7,0,40,4,1,5,0,0,3,1,0,0,0,0,0,0,9,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,66679661.375,40938.9181631497
370,48,029,980001,48029980001,9800.01,Census Tract,G5020,S,126393382,211514,+29.6858707,-098.5638545,"Census Tract 9800.01, Bexar County, Texas",3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362438671.61523,181822.058031526
371,48,029,980002,48029980002,9800.02,Census Tract,G5020,S,1557844,0,+29.3764255,-098.5460439,"Census Tract 9800.02, Bexar County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16763848.8691406,18125.7477780216
372,48,029,980003,48029980003,9800.03,Census Tract,G5020,S,16145483,4426,+29.3724905,-098.6660170,"Census Tract 9800.03, Bexar County, Texas",889,740,518,119,9,36,9,49,149,133,26,14,20,2,56,0,3,0,5,3,0,1,3,0,0,13,7,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173788013.890625,54428.8018616205
373,48,029,980004,48029980004,9800.04,Census Tract,G5020,S,9788993,0,+29.5369298,-098.4680109,"Census Tract 9800.04, Bexar County, Texas",1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105339945.482422,49941.3255257963
374,48,029,980005,48029980005,9800.05,Census Tract,G5020,S,39656004,1780,+29.5782334,-098.7484151,"Census Tract 9800.05, Bexar County, Texas",65,39,30,2,1,3,1,2,26,24,2,2,2,0,17,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,426761615.527344,152328.332056223
375,48,029,980100,48029980100,9801,Census Tract,G5020,S,14683784,42980,+29.3897891,-098.5823980,"Census Tract 9801, Bexar County, Texas",1083,834,461,112,10,24,6,221,249,242,8,4,6,3,207,4,1,0,4,0,0,5,0,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158473695.183594,73718.6783245391
