OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,NAME,P1_001N,P1_002N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P1_010N,P1_011N,P1_012N,P1_013N,P1_014N,P1_015N,P1_016N,P1_017N,P1_018N,P1_019N,P1_020N,P1_021N,P1_022N,P1_023N,P1_024N,P1_025N,P1_026N,P1_027N,P1_028N,P1_029N,P1_030N,P1_031N,P1_032N,P1_033N,P1_034N,P1_035N,P1_036N,P1_037N,P1_038N,P1_039N,P1_040N,P1_041N,P1_042N,P1_043N,P1_044N,P1_045N,P1_046N,P1_047N,P1_048N,P1_049N,P1_050N,P1_051N,P1_052N,P1_053N,P1_054N,P1_055N,P1_056N,P1_057N,P1_058N,P1_059N,P1_060N,P1_061N,P1_062N,P1_063N,P1_064N,P1_065N,P1_066N,P1_067N,P1_068N,P1_069N,P1_070N,P1_071N,ShapeSTArea,ShapeSTLength
318,48,029,190503,48029190503,1905.03,Census Tract,G5020,S,1250966,0,+29.4596714,-098.5035886,"Census Tract 1905.03, Bexar County, Texas",3123,2136,1467,55,59,31,0,524,987,948,14,54,14,0,830,3,0,0,11,1,0,16,3,0,2,38,3,0,0,3,2,0,25,1,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13461600.0625,15318.5471897962
319,48,029,190504,48029190504,1905.04,Census Tract,G5020,S,1165677,0,+29.4597554,-098.5118770,"Census Tract 1905.04, Bexar County, Texas",2385,1576,1054,35,39,12,3,433,809,778,9,15,9,1,720,3,2,0,4,1,0,10,2,2,0,31,3,0,1,3,3,0,16,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12543805.9316406,14880.4536927272
320,48,029,190601,48029190601,1906.01,Census Tract,G5020,S,1152379,0,+29.4721189,-098.5216808,"Census Tract 1906.01, Bexar County, Texas",3665,2572,1247,66,57,18,0,1184,1093,1066,2,2,2,1,1032,0,0,1,9,3,0,10,1,1,2,17,3,0,0,3,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12400743.1679688,15202.7056808938
321,48,029,190603,48029190603,1906.03,Census Tract,G5020,S,1286096,0,+29.4734310,-098.5035898,"Census Tract 1906.03, Bexar County, Texas",2661,1834,1059,36,48,9,0,682,827,804,1,17,5,0,766,0,1,0,8,0,0,2,3,1,0,18,3,0,0,3,1,0,7,1,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,13839696.4375,15658.4958546059
322,48,029,190604,48029190604,1906.04,Census Tract,G5020,S,1643144,0,+29.4746718,-098.5136721,"Census Tract 1906.04, Bexar County, Texas",4167,2945,1408,45,101,14,0,1377,1222,1199,10,18,8,0,1113,5,2,0,10,0,0,26,1,3,3,22,4,0,0,6,1,0,7,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17681876.7148438,19894.9878100816
323,48,029,190700,48029190700,1907,Census Tract,G5020,S,1466194,0,+29.4774570,-098.4955822,"Census Tract 1907, Bexar County, Texas",2957,2026,1309,94,51,47,3,522,931,909,11,11,15,0,863,0,0,0,3,0,0,5,0,1,0,20,1,0,0,2,2,0,12,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15777668.5410156,18792.9444872461
324,48,029,190800,48029190800,1908,Census Tract,G5020,S,1598064,0,+29.4749255,-098.4866305,"Census Tract 1908, Bexar County, Texas",2176,1839,1711,29,10,27,1,61,337,318,7,14,17,1,261,1,1,1,2,1,0,3,4,2,3,14,2,0,0,1,0,0,6,1,2,0,0,0,0,1,1,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17196814.6582031,23517.0608499683
325,48,029,190901,48029190901,1909.01,Census Tract,G5020,S,4462889,0,+29.5060157,-098.4982963,"Census Tract 1909.01, Bexar County, Texas",5383,3732,2388,346,76,96,8,818,1651,1608,39,83,52,1,1375,2,6,0,25,0,0,19,3,2,1,36,6,0,0,12,3,0,12,2,0,0,0,0,1,0,0,0,0,0,0,0,7,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48025254.3964844,34349.6005235685
326,48,029,190902,48029190902,1909.02,Census Tract,G5020,S,4652959,3154,+29.4957137,-098.4883111,"Census Tract 1909.02, Bexar County, Texas",3601,2441,1684,75,51,47,0,584,1160,1138,10,42,19,3,1037,5,0,1,5,0,0,14,0,2,0,22,4,1,0,1,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50104466.5957031,48923.8231339661
327,48,029,191003,48029191003,1910.03,Census Tract,G5020,S,2566190,0,+29.5018235,-098.5199757,"Census Tract 1910.03, Bexar County, Texas",7987,5476,2843,436,143,35,3,2016,2511,2456,48,85,16,2,2228,7,0,0,28,2,1,18,6,10,5,53,8,0,0,14,2,0,24,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27614795.9921875,24138.0813516446
