1546,5445
2495,5698
1038,14372
735,10810
302,2027
496,2379
279,4561
832,3035
386,1773
1106,2047
329,2603
685,4499
280,1505
421,3086
428,1217
189,1457
367,3206
80,1609
888,8623
1842,9087
4871,31846
1510,3571
870,3159
10796,23326
1573,7772
312,1114
732,1418
1049,3062
1707,8641
1115,3543
896,3939
1645,7655
643,1363
1006,2569
493,1923
527,2584
672,2015
786,2609
781,1855
337,878
744,3117
613,2225
499,3253
1931,9634
548,3197
441,939
1350,3179
2799,8872
2158,8850
395,2308
2848,9360
221,616
1921,12561
1069,7218
1636,4232
1982,8460
1178,2520
565,1700
609,2323
1103,4361
669,3231
913,3784
2057,5202
398,1149
1074,2995
650,1083
361,1926
817,2563
382,1653
299,3515
677,2505
322,4248
1398,6363
5737,23776
1260,5288
307,1610
418,2728
6418,35966
552,2375
400,935
1246,8264
1247,4878
2413,9593
1701,9350
220,462
640,1367
967,1935
2513,19534
403,1054
984,3220
316,1047
19458,56518
1125,3403
11828,29324
1306,7752
280,4333
306,2853
190,1499
1327,4488
366,1337
745,4076
765,2089
997,3958
737,1312
2200,7127
890,2555
274,1188
770,2193
655,2411
303,1560
1283,3502
628,2455
457,2519
1425,3286
443,1032
2010,20596
1408,9246
774,1537
559,2167
778,2017
1788,7571
781,2874
288,1798
406,1185
255,1154
892,2043
2957,10562
3166,18686
267,1496
266,7226
1642,7421
749,2651
873,1685
223,1249
623,2363
1208,4241
818,1930
161,462
126,336
22,207
14,29
522,2003
22,119
85,398
18,364
88,448
55,546
130,827
93,490
17,4775
250,2363
5553,47393
426,4771
114,1271
59,276
39,133
23,92
19,103
1156,8895
31,126
218,2461
69,348
2232,19299
50,340
54,324
13,1218
115,706
1328,13828
262,2187
575,2127
3,11
45,467
7,69
55,200
10,141
26,175
209,605
7,49
13,476
48,174
113,410
24,974
72,236
37,649
20,445
59,303
25,83
117,293
665,5784
602,2427
45,403
41,140
800,570
60,99
682,1113
105,527
580,1896
290,1233
2123,6942
868,8025
69,172
93,448
5991,12689
13,60
3264,13976
72,228
8,7
1335,3681
59,281
11,17
69,245
1528,5546
51,457
1242,2371
85,316
45,113
201,743
0,10
8,87
8,22
10,66
1036,5085
559,4164
1323,5887
1085,2891
365,1552
105,134
7607,17456
1688,6976
913,3603
256,5444
598,135
4269,46244
2242,3742
7,78
97,162
28,105
61,604
1294,2233
602,2081
1598,6265
3181,6145
3,4
29,41
1439,4004
101,355
4596,25111
16,131
312,878
2007,9897
1467,8850
1373,5669
193,1336
1825,4570
91,209
90,865
429,625
1409,5271
719,1450
150,439
3236,35752
5194,12818
4880,15541
441,1700
28,285
24,28
63,270
1032,12567
665,2031
1602,5779
19,94
698,1341
3349,6968
877,4738
115,442
1094,1832
53,77
1464,17118
1272,5527
1420,7009
503,3463
1076,11711
93,373
1213,5910
730,6021
31,127
240,760
1669,12005
1235,6834
355,662
334,495
69,127
14,56
16265,64279
505,1311
307,1231
4,21
428,1113
45,169
98,1380
32,143
749,1688
107,288
234,790
2030,5884
134,379
1136,3014
7,17
33,87
764,2727
99,468
230,939
5220,32268
552,1910
27,93
14,82
626,2186
95,182
20,97
2534,10025
5103,37876
2564,6720
12330,27356
41,170
267,924
45,130
576,2185
43,103
862,4028
567,720
104,207
415,7589
150,457
840,484
92,401
586,1566
333,937
5163,9264
350,1380
353,1698
393,746
816,3141
589,6561
0,19
8,114
122,238
1041,3375
160,442
2793,23278
26,125
11,35
685,2511
4604,34508
13,22
559,2602
62,202
1150,3110
24,118
63,371
242,851
107,493
5809,16317
95,526
102,2118
2932,11984
1567,14003
282,1705
11,20
3,23
740,3316
2238,11832
367,1012
269,814
34,133
1336,1687
16876,46471
560,1921
652,13061
7,98
16,137
8021,23171
112,218
51,117
1154,2228
322,1492
329,1126
263,712
251,1138
917,1840
641,2075
24,52
30,41
7,31
2671,8923
3123,11273
183,997
308,1258
387,1612
277,923
149,834
617,4092
135,797
792,3334
652,3304
159,542
239,485
519,1215
1771,3792
354,1592
224,1327
89,394
113,501
166,378
386,1901
709,3898
1028,2869
266,1220
216,1115
529,1642
218,749
745,2427
98,848
279,601
182,947
173,985
203,755
177,462
70,397
199,748
205,611
284,862
235,986
356,1030
1390,4395
685,3222
145,543
445,1828
44,451
317,1414
229,1031
206,412
334,1172
191,777
123,1726
72,588
595,3397
581,5378
190,2164
1077,16870
129,1140
497,1978
195,985
164,482
984,2085
150,383
324,1278
97,503
256,546
205,2635
880,9256
171,791
1289,10802
204,598
89,406
92,704
345,1763
434,1305
272,779
216,1156
137,721
133,933
174,479
142,615
582,2583
366,1412
131,459
1735,10281
164,736
141,477
509,1808
186,653
231,876
395,2108
128,600
184,360
101,577
90,568
521,1060
215,1390
194,1107
477,1294
199,587
145,656
1209,4436
118,1243
203,717
200,654
779,2574
242,2475
1420,10017
240,932
199,788
92,501
1314,2842
4002,14772
178,1168
237,1483
163,1462
226,1048
248,996
235,1909
294,1319
408,3561
254,792
522,3861
165,750
70,388
286,848
105,604
246,1005
80,1292
276,1199
603,2635
177,614
369,1679
142,592
1532,1355
132,492
179,609
598,1638
981,2345
240,873
1347,3705
229,882
201,887
2074,5557
622,2274
295,889
1746,6477
77,673
444,1322
116,353
806,4467
529,1065
399,3586
305,1315
153,865
265,1227
5828,24049
324,1833
144,608
66,730
614,2037
138,477
169,768
494,999
767,3826
207,558
327,884
305,381
149,1136
169,520
145,685
435,1228
147,880
656,1721
161,410
422,1976
160,466
85,532
171,545
570,1687
208,671
