AL,01,00185,Saraland City School District,13829,2244,421
AL,01,00189,Satsuma City School District,6169,1033,189
AL,01,02940,Scottsboro City School District,14404,2177,457
AL,01,02970,Selma City School District,18576,3439,1425
AL,01,03000,Sheffield City School District,9051,1313,443
AL,01,03030,Shelby County School District,129319,22821,2010
AL,01,03062,St. Clair County School District,56663,9537,1408
AL,01,03090,Sumter County School District,12687,1741,774
AL,01,03120,Sylacauga City School District,12519,2099,559
AL,01,03150,Talladega City School District,15652,2430,778
AL,01,03180,Talladega County School District,47884,7557,1788
AL,01,03210,Tallapoosa County School District,21948,3328,781
AL,01,03240,Tallassee City School District,9020,1535,288
AL,01,03270,Tarrant City School District,6397,1296,406
AL,01,03300,Thomasville City School District,5493,901,255
AL,01,03330,Troy City School District,18378,2250,892
AL,01,00013,Trussville City School District,20071,3875,279
AL,01,03360,Tuscaloosa City School District,94903,11431,2957
AL,01,03390,Tuscaloosa County School District,112908,19847,3166
AL,01,03420,Tuscumbia City School District,8587,1255,267
AL,01,03430,Vestavia Hills City School District,33916,6432,266
AL,01,03450,Walker County School District,50300,8225,1642
AL,01,03480,Washington County School District,16531,2787,749
AL,01,03510,Wilcox County School District,10719,1891,873
AL,01,03540,Winfield City School District,6473,1018,223
AL,01,03580,Winston County School District,15837,2432,623
AK,02,00050,Alaska Gateway School District,2295,400,85
AK,02,00010,Aleutian Region School District,626,29,14
AK,02,00007,Aleutians East Borough School District,3370,206,22
AK,02,00180,Anchorage School District,294356,50597,5553
AK,02,00525,Annette Island School District,1525,281,54
AK,02,00020,Bering Strait School District,6164,1703,522
AK,02,00030,Bristol Bay Borough School District,867,113,22
AK,02,00730,Chatham School District,1291,185,48
AK,02,00800,Chugach School District,451,58,20
AK,02,00070,Copper River School District,2721,470,88
AK,02,00060,Cordova City School District,2156,354,18
AK,02,00090,Craig City School District,1254,233,55
AK,02,00100,Delta/Greely School District,4713,844,130
AK,02,00770,Denali Borough School District,2074,282,24
AK,02,00120,Dillingham City School District,2368,440,93
AK,02,00600,Fairbanks North Star Borough School District,99703,16232,1328
AK,02,00130,Galena City School District,451,103,17
AK,02,00270,Haines Borough School District,2526,353,59
AK,02,00300,Hoonah City School District,770,117,39
AK,02,00330,Hydaburg City School District,392,69,23
AK,02,00520,Iditarod Area School District,1063,225,50
AK,02,00210,Juneau Borough School District,32094,5025,426
AK,02,00360,Kake City School District,582,95,19
AK,02,00005,Kashunamiut School District,1026,294,126
AK,02,00390,Kenai Peninsula Borough School District,58617,9662,1156
AK,02,00150,Ketchikan Gateway Borough School District,13856,2274,250
AK,02,00450,Klawock City School District,788,151,31
AK,02,00480,Kodiak Island Borough School District,13448,2421,218
AK,02,00760,Kuspuk School District,1494,340,113
AK,02,00485,Lake and Peninsula Borough School District,1620,309,69
AK,02,00001,Lower Kuskokwim School District,15105,3734,1208
AK,02,00003,Lower Yukon School District,6618,1846,818
