"cty","Name","High_School_Graduation_Rate_rH_gP_p25"
"cty48029","Bexar County, TX",0.7276
"cty48091","Comal County, TX",0.7266
"cty48187","Guadalupe County, TX",0.6906
"cty48493","Wilson County, TX",0.6299
