"cty","Name","High_School_Graduation_Rate_rH_gP_p75"
"cty48493","Wilson County, TX",0.9734
"cty48187","Guadalupe County, TX",0.9292
"cty48029","Bexar County, TX",0.9105
"cty48091","Comal County, TX",0.8336
