"cty","Name","High_School_Graduation_Rate_rB_gP_p50"
"cty48091","Comal County, TX",0.9475
"cty48187","Guadalupe County, TX",0.9322
"cty48029","Bexar County, TX",0.8629
"cty48493","Wilson County, TX",
