"LEA_STATE","LEA_STATE_NAME","LEAID","LEA_NAME","LEA_ADDRESS","LEA_CITY","LEA_ZIP","CJJ","LEA_HSE_IND","LEA_HSEPART_HI_M","LEA_HSEPART_HI_F","LEA_HSEPART_AM_M","LEA_HSEPART_AM_F","LEA_HSEPART_AS_M","LEA_HSEPART_AS_F","LEA_HSEPART_HP_M","LEA_HSEPART_HP_F","LEA_HSEPART_BL_M","LEA_HSEPART_BL_F","LEA_HSEPART_WH_M","LEA_HSEPART_WH_F","LEA_HSEPART_TR_M","LEA_HSEPART_TR_F","TOT_HSEPART_M","TOT_HSEPART_F","LEA_HSEPART_LEP_M","LEA_HSEPART_LEP_F","LEA_HSEPART_IDEA_M","LEA_HSEPART_IDEA_F"
"IL","ILLINOIS","1706540","CHSD 218","10701 Kilpatrick Ave","Oak Lawn","60453","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1706600","Scott-Morgan CUSD 2","PO Box 230","Bluffs","62621","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1706750","Bourbonnais SD 53","281 W John Casey Rd","Bourbonnais","60914","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1706840","Braceville SD 75","209 N Mitchell St","Braceville","60407","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1706880","Bradford CUSD 1","115 High St","Bradford","61421","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1706930","Bradley SD 61","111 N Crosswell Ave","Bradley","60915","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1706960","Bradley Bourbonnais CHSD 307","700 W North St","Bradley","60915","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1707010","Breese ESD 12","777 Memorial Dr","Breese","62230","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1707050","Bremen CHSD 228","15233 Pulaski Rd","Midlothian","60445","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1707170","Indian Springs SD 109","7540 S 86th Ave","Justice","60458","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1707200","Brimfield CUSD 309","PO Box 380","Brimfield","61517","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1707290","Lemont-Bromberek CSD 113A","16100 W 127th St","Lemont","60439","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1707320","Brookfield Lagrange Park SD 95","3724 Prairie Ave","Brookfield","60513","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1707440","Brownstown CUSD 201","421 S College Ave","Brownstown","62418","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1707650","Paxton-Buckley-Loda CUD 10","PO Box 50","Paxton","60957","No","Yes",0,0,0,0,0,0,0,0,0,0,6,11,1,1,7,12,7,12,0,0
"IL","ILLINOIS","1707740","Buncombe Cons SD 43","164 Main St","Buncombe","62912","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1707770","Bunker Hill CUSD 8","504 E Warren St","Bunker Hill","62014","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1707830","Central CUSD 301","PO Box 396","Burlington","60109","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1707860","Burnham SD 154-5","13945 Green Bay","Burnham","60633","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1707950","Bushnell Prairie City CUSD 170","845 Walnut St","Bushnell","61422","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1707980","Butler SD 53","2801 York Rd","Oak Brook","60523","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708010","Byron CUSD 226","696 N Colfax St","Byron","61010","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708040","Cahokia CUSD 187","1700 Jerome Ln","Cahokia","62206","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708070","Cairo USD 1","4201 Sycamore St","Cairo","62914","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708100","Lincoln ESD 156","410 157th St","Calumet City","60409","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708130","Calumet Public SD 132","1440 W Vermont Ave","Calumet Park","60827","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708160","Cambridge CUSD 227","300 S West St","Cambridge","61238","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708220","Central CUSD 3","2110 Highway 94 N","Camp Point","62320","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708250","Trico CUSD 176","PO Box 220","Campbell Hill","62916","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708280","Canton Union SD 66","20 W Walnut St","Canton","61520","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708310","Carbon Cliff-Barstow SD 36","2002 Eagle Ridge Dr","Silvis","61282","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708340","Carbondale ESD 95","925 S Giant City Rd","Carbondale","62902","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708370","Carbondale CHSD 165","330 S Giant City Rd","Carbondale","62902","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708400","Cons HSD 230","15100 S 94th Ave","Orland Park","60462","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708430","Carlinville CUSD 1","829 W Main St","Carlinville","62626","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708460","Carlyle CUSD 1","1400 13th Street","Carlyle","62231","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708500","Carmi-White County CUSD 5","211 W Robinson St","Carmi","62821","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708550","CUSD 300","2550 Harnish Dr","Algonquin","60102","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708580","Carrier Mills-Stonefort CUSD 2","7071 US 45 S","Carrier Mills","62917","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708610","Carrollton CUSD 1","950A 3rd St","Carrollton","62016","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708640","Carterville CUSD 5","306 Virginia Ave","Carterville","62918","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708730","Cary CCSD 26","2115 Crystal Lake Rd","Cary","60013","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708790","Cass SD 63","8502 Bailey Rd","Darien","60561","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1708970","Center Cass SD 66","699 Plainfield Rd","Downers Grove","60516","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709100","Central A & M CUD 21","105 N College St","Assumption","62510","Yes","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709150","Central SD 51","1301 Eagle Ave","Washington","61571","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709170","Central SD 104","309 Hartman Ln","O Fallon","62269","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709180","Central City SD 133","129 Douglas St","Centralia","62801","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709210","Lockport SD 91","808 Adams St","Lockport","60441","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709270","Centralia SD 135","400 S Elm St","Centralia","62801","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709300","Centralia HSD 200","2100 E Calumet St","Centralia","62801","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709330","Cerro Gordo CUSD 100","PO Box 79","Cerro Gordo","61818","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709400","Chadwick-Milledgeville CUSD 399","15 School St","Chadwick","61014","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709420","Champaign CUSD 4","703 S New St","Champaign","61820","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709510","Chaney-Monge SD 88","400 Elsie Ave","Crest Hill","60403","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709540","Channahon SD 17","24920 S Sage St","Channahon","60410","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709600","Charleston CUSD 1","410 W Polk Ave","Charleston","61920","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709810","Chester CUSD 139","1940 Swanwick St","Chester","62233","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709850","Chester-East Lincoln CCSD 61","1300 1500th St","Lincoln","62656","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709930","City of Chicago SD 299","42 W Madison St","Chicago","60602","Yes","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709960","Chicago Heights SD 170","30 W 16th St","Chicago Heights","60411","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1709990","Chicago Ridge SD 127-5","6135 108th St","Chicago Ridge","60415","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710200","Cicero SD 99","5110 W 24th St","Cicero","60804","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710240","North Wayne CUSD 200","PO Box 235","Cisne","62823","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710290","Cissna Park CUSD 6","511 N 2nd St","Cissna Park","60924","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710340","Clay City CUSD 10","PO Box 542","Clay City","62824","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710380","Skokie SD 73-5","8000 E Prairie Rd","Skokie","60076","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710410","Central CUSD 4","PO Box 158","Ashkum","60911","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710440","Clinton CUSD 15","1210 State Route 54W","Clinton","61727","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710470","CCSD 93","230 Covington Dr","Bloomingdale","60108","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710530","Coal City CUSD 1","550 S Carbon Hill Rd","Coal City","60416","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710570","Cobden SUD 17","413 N Appleknocker","Cobden","62920","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710650","Collinsville CUSD 10","201 W Clay St","Collinsville","62234","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710690","Colona SD 190","700 1st St","Colona","61241","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710740","Columbia CUSD 4","5 Veterans Pkwy","Columbia","62236","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710790","Hamilton Co CUSD 10","PO Box 369","Mc Leansboro","62859","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710800","Oakwood CUSD 76","12190 US Route 150","Oakwood","61858","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710820","Westville CUSD 2","125 W Ellsworth St","Westville","61883","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710830","Triopia CUSD 27","2204 Concord-Arenzville Road","Concord","62631","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710860","Cornell CCSD 426","300 N 7th St","Cornell","61319","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710950","Ford Heights SD 169","910 Woodlawn Ave","Ford Heights","60411","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1710980","Coulterville USD 1","PO Box 396","Coulterville","62237","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711010","Country Club Hills SD 160","4411 185th St","Country Club Hill","60478","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711100","Crab Orchard CUSD 3","19189 Bailey St","Marion","62959","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711220","Creston CCSD 161","PO Box 37","Creston","60113","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711250","Crete Monee CUSD 201U","1500 S Sangamon St","Crete","60417","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711290","Creve Coeur SD 76","400 N Highland St","Creve Coeur","61610","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711350","Crystal Lake CCSD 47","300 Commerce Dr","Crystal Lake","60014","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711370","CHSD 155","1 Virginia Rd","Crystal Lake","60014","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711400","CUSD 3 Fulton County","652 E Main St","Cuba","61427","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711520","Cypress SD 64","4580 Mount Pisgah Rd","Cypress","62923","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711610","Dakota CUSD 201","400 Campus Dr","Dakota","61018","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711700","Dalzell SD 98","307 Chestnut St","Dalzell","61320","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711730","Damiansville SD 62","101 E Main St","Damiansville","62215","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711790","Danville CCSD 118","110 E Williams Street","Danville","61832","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711850","Decatur SD 61","101 W Cerro Gordo St","Decatur","62523","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711880","Deer Creek-Mackinaw CUSD 701","401 E Fifth St","Mackinaw","61755","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711910","Deer Park CCSD 82","2350 E 1025th Rd","Ottawa","61350","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1711980","Deerfield SD 109","517 Deerfield Rd","Deerfield","60015","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712000","DeKalb CUSD 428","901 S 4th St","DeKalb","60115","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712030","Deland-Weldon CUSD 57","304 E IL Route 10","De Land","61839","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712060","Delavan CUSD 703","907 Locust St","Delavan","61734","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712090","DePue USD 103","PO Box 800","DePue","61322","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712120","CCSD 62","777 E Algonquin Rd","Des Plaines","60016","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712150","DeSoto Cons SD 86","311 Hurst Rd","De Soto","62924","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712210","Diamond Lake SD 76","500 Acorn Ln","Mundelein","60060","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712240","Dieterich CUSD 30","PO Box 187","Dieterich","62424","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712330","Dixon USD 170","1335 Franklin Grove Rd","Dixon","61021","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712420","Dolton SD 149","292 Torrence Ave","Calumet City","60409","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712450","Dolton SD 148","114 W 144th St","Riverdale","60827","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712480","Dongola USD 66","PO Box 190","Dongola","62926","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712510","Donovan CUSD 3","PO Box 186","Donovan","60931","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712540","Downers Grove GSD 58","1860 63rd St","Downers Grove","60516","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712570","CHSD 99","6301 Springside Ave","Downers Grove","60516","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712700","Dunlap CUSD 323","3020 W Willow Knolls","Peoria","61614","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712720","Dupo CUSD 196","600 Louisa Ave","Dupo","62239","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712760","Du Quoin CUSD 300","845 E Jackson St","Du Quoin","62832","No","Yes",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"IL","ILLINOIS","1712810","Durand CUSD 322","200 W South St","Durand","61024","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712840","Dwight Common SD 232","801 S Franklin St","Dwight","60420","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712870","Dwight Twp HSD 230","801 S Franklin St","Dwight","60420","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712930","Earlville CUSD 9","PO Box 539","Earlville","60518","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712960","East Alton SD 13","210 E St Louis Ave","East Alton","62024","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1712990","East Alton-Wood River CHSD 14","777 N Wood River Ave","Wood River","62095","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"IL","ILLINOIS","1713050","East Dubuque USD 119","100 N School Rd","East Dubuque","61025","No","No",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
