"cty","Name","High_School_Graduation_Rate_rW_gP_p50"
"cty48493","Wilson County, TX",0.9011
"cty48091","Comal County, TX",0.8977
"cty48187","Guadalupe County, TX",0.8956
"cty48029","Bexar County, TX",0.8853
