"cty","Name","High_School_Graduation_Rate_rW_gP_p25"
"cty48091","Comal County, TX",0.8491
"cty48187","Guadalupe County, TX",0.8455
"cty48029","Bexar County, TX",0.825
"cty48493","Wilson County, TX",0.8118
